1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,HouseAge,RemodAge,GarageAge,SalePrice
2515,0.0,4.0,1,1219,3,816,0.0,484,1,2515,2,32668,69.0,0.0,0,3,6,2035,0.0,53,35,35.0,200624
958,620.0,3.0,1,403,4,238,0.0,240,1,1578,1,9490,79.0,0.0,0,7,6,806,0.0,69,60,69.0,133000
979,224.0,3.0,1,185,2,524,0.0,352,1,1203,3,7015,69.0,161.0,0,4,5,709,0.0,60,60,60.0,110000
1156,866.0,4.0,1,392,4,768,0.0,505,3,2022,2,10005,83.0,299.0,117,5,7,1160,288.0,33,33,33.0,192000
525,0.0,3.0,1,0,1,525,0.0,264,1,1092,2,1680,21.0,381.0,0,5,6,525,0.0,39,39,39.0,88000
1022,0.0,2.0,1,247,1,310,226.0,280,1,1022,2,7200,60.0,0.0,30,4,5,1022,0.0,100,4,54.0,85000
1464,0.0,3.0,4,929,6,556,0.0,754,1,1464,3,15256,49.0,84.0,160,5,8,1485,0.0,3,3,3.0,282922
780,595.0,3.0,1,0,1,780,0.0,544,1,1375,3,9000,50.0,0.0,162,6,6,780,0.0,73,60,31.0,141000
2411,2065.0,4.0,3,2096,6,300,0.0,813,3,4476,4,15623,160.0,0.0,78,5,10,2396,0.0,14,14,14.0,745000
551,551.0,2.0,1,239,6,312,0.0,480,1,1102,3,5105,69.0,0.0,60,5,7,551,0.0,6,6,6.0,148800
1352,0.0,2.0,1,0,1,1352,0.0,466,1,1352,3,4230,47.0,0.0,241,5,7,1352,0.0,4,3,4.0,208900
1680,0.0,4.0,1,0,1,1680,0.0,528,1,1680,2,11500,69.0,164.0,0,6,5,1680,0.0,34,34,34.0,136905
