1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,HouseAge,RemodAge,GarageAge,SalePrice
1828,0.0,3.0,3,48,1,1774,0.0,774,1,1828,3,11694,90.0,452.0,108,5,9,1822,0.0,3,3,3.0,314813
894,0.0,2.0,1,0,1,894,0.0,308,1,894,2,6600,60.0,0.0,0,5,5,894,0.0,48,48,48.0,109500
964,0.0,2.0,1,713,5,163,0.0,432,1,964,2,13360,80.0,0.0,0,7,5,876,0.0,89,4,89.0,163500
1689,0.0,3.0,1,1218,6,350,0.0,857,2,1689,3,13265,69.0,148.0,59,5,8,1568,0.0,8,8,8.0,271000
1541,0.0,3.0,1,0,1,1541,0.0,843,2,1541,3,13704,118.0,150.0,81,5,7,1541,0.0,9,8,9.0,205000
1221,0.0,2.0,1,410,6,811,0.0,400,2,1221,3,7500,62.0,0.0,113,5,7,1221,0.0,6,5,6.0,185000
1324,0.0,3.0,1,643,3,445,0.0,440,1,1324,2,8658,84.0,101.0,138,5,6,1088,0.0,45,45,45.0,160000
696,720.0,3.0,1,604,5,92,0.0,484,1,1416,3,2572,24.0,0.0,44,5,7,696,0.0,11,11,11.0,155000
526,462.0,2.0,4,462,6,0,0.0,297,1,988,2,1596,21.0,0.0,101,5,4,462,0.0,37,37,37.0,91000
869,349.0,3.0,1,375,5,360,0.0,440,1,1218,2,6000,60.0,0.0,0,6,6,735,0.0,69,60,7.0,131000
760,896.0,3.0,1,0,1,746,0.0,397,3,1656,3,6931,60.0,92.0,128,5,7,746,0.0,7,6,7.0,165400
1362,0.0,2.0,3,20,5,1342,0.0,460,1,1362,3,7577,61.0,256.0,28,5,6,1362,0.0,5,4,5.0,194700
1051,788.0,4.0,1,0,1,756,0.0,442,1,1839,2,7700,70.0,351.0,124,5,6,756,0.0,44,44,44.0,155000
1375,0.0,2.0,1,0,1,1367,0.0,451,1,1375,2,11310,75.0,0.0,30,5,6,1367,0.0,56,56,56.0,140000
1122,0.0,2.0,1,144,6,172,0.0,528,1,1122,3,12000,100.0,0.0,36,7,5,924,0.0,62,5,62.0,147000
1432,0.0,2.0,4,680,5,289,0.0,588,1,1432,3,16157,69.0,0.0,180,7,5,1360,0.0,32,32,32.0,194000
728,728.0,3.0,3,0,1,728,0.0,400,3,1456,3,9018,65.0,0.0,24,5,7,728,0.0,3,3,3.0,179540
1217,0.0,3.0,3,611,6,577,0.0,497,1,1217,3,9947,69.0,0.0,27,5,7,1188,0.0,20,19,20.0,173000
1040,0.0,2.0,0,0,0,0,0.0,625,1,1040,2,7200,60.0,0.0,0,7,5,0,0.0,60,60,60.0,109500
612,612.0,2.0,3,294,6,318,0.0,528,2,1224,3,3000,30.0,76.0,234,5,6,612,0.0,1,1,1.0,173733
1022,752.0,2.0,1,0,1,952,0.0,468,1,1774,2,6120,51.0,0.0,0,5,7,952,0.0,79,60,79.0,129900
961,406.0,4.0,1,241,3,229,0.0,384,1,1367,2,8405,50.0,0.0,130,8,5,861,0.0,110,60,32.0,119000
803,557.0,2.0,1,0,1,803,0.0,297,1,1360,3,7200,60.0,0.0,65,6,5,803,0.0,72,15,59.0,125500
848,0.0,1.0,3,697,6,151,0.0,420,2,848,3,4426,69.0,147.0,0,5,6,848,0.0,6,6,6.0,149300
1482,780.0,3.0,4,871,6,611,0.0,749,3,2262,3,12244,85.0,226.0,0,5,8,1482,0.0,7,7,7.0,305000
1220,0.0,2.0,1,836,2,0,0.0,396,1,1220,2,8877,67.0,0.0,0,5,4,836,0.0,59,59,59.0,102000
1414,0.0,2.0,1,0,1,1375,0.0,398,3,1414,3,3072,69.0,18.0,20,5,7,1375,0.0,6,6,6.0,178740
1134,924.0,3.0,1,319,3,416,0.0,396,1,2058,2,9600,60.0,0.0,0,5,6,735,0.0,93,60,60.0,129500
1088,110.0,4.0,1,0,1,901,0.0,0,0,1198,2,5586,60.0,0.0,98,7,6,901,0.0,90,12,0.0,79900
1659,0.0,2.0,1,1158,6,343,0.0,499,3,1659,4,5664,40.0,0.0,59,5,8,1501,0.0,10,10,10.0,278000
1012,0.0,2.0,1,0,1,1012,0.0,308,1,1012,2,8263,59.0,0.0,22,5,6,1012,0.0,90,60,90.0,118400
1687,998.0,5.0,1,523,6,301,0.0,672,3,3082,2,15863,102.0,0.0,63,3,7,824,0.0,90,40,40.0,197000
1032,0.0,4.0,1,0,1,360,0.0,672,1,1812,3,7630,76.0,0.0,0,9,5,360,344.0,110,14,11.0,140000
1057,872.0,3.0,1,738,1,319,0.0,650,3,1929,3,7050,69.0,0.0,235,5,7,1057,0.0,9,9,9.0,226000
954,0.0,3.0,3,483,5,428,0.0,576,1,954,2,10780,55.0,0.0,0,5,5,911,0.0,34,34,34.0,132500
1838,0.0,2.0,3,1260,6,578,0.0,765,1,1838,4,14601,85.0,584.0,68,5,9,1838,0.0,4,4,4.0,315000
1640,0.0,3.0,1,728,4,568,0.0,924,1,1640,3,14778,69.0,72.0,0,7,6,1296,0.0,56,4,17.0,224000
1148,0.0,3.0,1,1148,4,0,0.0,672,1,1148,2,7931,70.0,0.0,0,5,5,1148,0.0,51,51,51.0,132500
950,0.0,3.0,1,412,4,251,0.0,280,1,950,2,9758,61.0,0.0,0,5,5,950,0.0,39,39,29.0,119500
1065,846.0,3.0,1,380,1,397,0.0,471,2,1911,3,9554,80.0,125.0,81,5,8,777,0.0,17,16,17.0,215000
915,720.0,3.0,1,300,3,765,0.0,440,1,1635,2,8737,70.0,0.0,38,7,6,1065,0.0,87,60,60.0,210000
1316,0.0,3.0,3,0,1,1316,0.0,440,3,1316,3,11175,103.0,0.0,20,5,7,1316,0.0,3,3,3.0,200141
1442,0.0,2.0,1,0,1,1442,0.0,615,2,1442,2,11717,69.0,571.0,0,6,6,1442,0.0,40,40,40.0,185000
1078,0.0,3.0,1,734,6,344,0.0,500,3,1078,2,12537,69.0,0.0,0,6,5,1078,0.0,39,2,39.0,149900
1120,0.0,3.0,1,932,5,108,0.0,544,2,1120,1,6970,85.0,0.0,0,5,4,1040,0.0,49,49,49.0,129000
779,640.0,3.0,1,353,6,55,0.0,527,3,1419,3,7750,69.0,0.0,0,5,8,408,0.0,8,8,8.0,184100
707,682.0,3.0,1,0,1,651,0.0,240,1,1389,2,3378,60.0,0.0,0,8,7,651,0.0,64,18,63.0,135000
1063,0.0,3.0,1,354,3,412,0.0,280,2,1063,2,9920,80.0,110.0,0,5,5,1056,0.0,56,56,56.0,128000
1792,0.0,2.0,4,1567,6,225,0.0,874,3,1792,4,11846,72.0,562.0,49,5,9,1792,0.0,7,6,7.0,374000
1216,0.0,2.0,1,897,6,319,0.0,402,1,1216,2,4500,32.0,116.0,125,5,6,1216,0.0,12,12,12.0,164000
998,764.0,4.0,1,0,1,596,0.0,576,1,1762,3,7200,60.0,0.0,0,7,7,596,0.0,90,60,21.0,157000
847,1112.0,4.0,3,0,1,847,0.0,434,3,1959,3,11796,59.0,0.0,48,5,7,847,0.0,6,5,6.0,215000
1208,0.0,3.0,1,767,5,441,0.0,546,2,1208,2,11250,69.0,0.0,42,6,6,1208,0.0,33,33,33.0,165000
874,650.0,3.0,1,460,4,414,0.0,315,1,1524,2,11344,78.0,180.0,0,5,5,874,0.0,52,52,52.0,144000
796,358.0,3.0,1,735,4,61,0.0,240,1,1154,3,5436,40.0,0.0,96,8,4,796,0.0,88,3,88.0,125500
